Lemma	Gloss	Part	Chapter
ἀγάπη	love	noun	2
ἀλήθεια	truth	noun	2
δικαιοσύνη	righteousness	noun	2
εἰρήνη	peace	noun	2
καρδία	heart	noun	2
κεφαλή	head	noun	2
σοφία	wisdom	noun	2
φωνή	voice; sound	noun	2
χαρά	joy	noun	2
ψυχή	soul; life	noun	2
ἄνθρωπος	man; mankind	noun	3
δαιμόνιον	demon	noun	3
δοῦλος	slave	noun	3
εὐαγγέλιον	good news; gospel	noun	3
θεός	God	noun	3
κύριος	lord; Lord	noun	3
λόγος	word; reason; account	noun	3
παιδίον	little child; dear child	noun	3
τέκνον	child	noun	3
υἱός	son	noun	3
ἀκούω	I hear; I listen to	verb	4
βάλλω	I throw; I put	verb	4
βλέπω	I see	verb	4
γίνομαι	I become; it happens (3rd person sing.)	verb	4
δέχομαι	I receive	verb	4
ἔρχομαι	I come, go	verb	4
ἐσθίω	I eat	verb	4
ἔχω	I have, possess; I hold	verb	4
λύω	I loose, loosen, untie; I destroy	verb	4
πορεύομαι	I go, travel	verb	4
ἄγω	I lead, drive	verb	5
βαπτίζω	I baptize	verb	5
γράφω	I write	verb	5
διδάσκω	I teach	verb	5
θεραπεύω	I heal	verb	5
λέγω	I say, speak	verb	5
λογίζομαι	I consider, reckon	verb	5
μένω	I remain	verb	5
πιστεύω	I believe	verb	5
σῴζω	I save; I heal	verb	5
ἀγαπάω	I love	verb	6
αἰτέω	I ask for, request	verb	6
γεννάω	I sire, beget; I give birth to	verb	6
ἐρωτάω	I ask, question	verb	6
ζητέω	I seek; I try to	verb	6
καλέω	I call; I name	verb	6
λαλέω	I talk, speak	verb	6
πληρόω	I fulfill, complete; I fill	verb	6
ποιέω	I do, practice; I make	verb	6
φοβέομαι	I fear, am afraid	verb	6
οὐ	no; not	adverb	6
οὐχί	no!	adverb	6
ἀκολουθέω	I follow (direct object in dative case)	verb	7
ἅπτομαι	I touch	verb	7
ἄρχομαι	I begin	verb	7
διώκω	i pursue; i persecute	verb	7
δοξάζω	I glorify	verb	7
εὐαγγελίζω	i preach the gospel, announce good news	verb	7
κηρύσσω	I announce, proclaim	verb	7
κόπτω	I cut	verb	7
πέμπω	I send	verb	7
πράσσω	I do	verb	7
ἀνοίγω	I open	verb	8
ἀποκαλύπτω	I reveal, uncover	verb	8
ἀπολύω	I release, send away; I destroy	verb	8
ἀσπάζομαι	I greet	verb	8
εἰσέρχομαι	I go into, enter	verb	8
ἐκβάλλω	I throw out; I send away; I divorce	verb	8
περιπατέω	I walk	verb	8
περισσεύω	I increase; I provide in abundance	verb	8
συνάγω	I gather together, assemble	verb	8
ὑποτάσσω	I subject	verb	8
ἁμαρτάνω	I sin; I err	verb	9
ἀναβαίνω	I go up; I ascend	verb	9
ἀποθνῄσκω	I die	verb	9
γινώσκω	I know; I understand, discern	verb	9
ἐξέρχομαι	I go out, depart	verb	9
εὑρίσκω	I find; I obtain	verb	9
καταβαίνω	I go down, descend	verb	9
λαμβάνω	I take, receive	verb	9
πίνω	I drink	verb	9
πίπτω	I fall	verb	9
εἰμί	I am; I exist	verb	10
ἀγαθός	good	adjective	10
ἀγαπητός	beloved, dear	adjective	10
ἅγιος	holy; saints (pl. substantive)	adjective	10
δίκαιος	righteous, just	adjective	10
ἕτερος	other, another, different	adjective	10
κακός	bad, evil	adjective	10
καλός	good, excellent; beautiful, handsome	adjective	10
νεκρός	dead	adjective	10
πιστός	faithful, believing	adjective	10
πονηρός	evil, wicked	adjective	10
αἰών	age; the world	noun	11
αἰώνιος	eternal	adjective	11
ἀνήρ	man; husband	noun	11
γυνή	woman; wife	noun	11
ὄνομα	name	noun	11
πνεῦμα	Spirit; spirit; breath; wind	noun	11
πούς	foot	noun	11
σάρξ	flesh	noun	11
σῶμα	body	noun	11
φῶς	light	noun	11
χείρ	hand	noun	11
ἀρχιερεύς	high priest	noun	12
βασιλεύς	king	noun	12
γραμματεύς	scribe	noun	12
δύναμις	power	noun	12
ἔθνος	nation; Gentiles (pl.)	noun	12
μήτηρ	mother	noun	12
ὄρος	mountain	noun	12
πᾶς	all, every; whole	adjective	12
πατήρ	father	noun	12
πίστις	faith, trust	noun	12
πόλις	city	noun	12
ἀπό	+gen., from	preposition	13
διά	+gen., through; +acc., because of	preposition	13
εἰς	+acc., unto, into, to, in	preposition	13
ἐκ	+gen., out of, from	preposition	13
ἐν	+dat., in, on, among, by (means of)	preposition	13
ἐπί	+gen., on, upon; +dat., upon, on the basis of; +acc., against, upon	preposition	13
κατά	+gen., down from, against; +acc., according to	preposition	13
μετά	+gen., with; +acc., after	preposition	13
παρά	+gen., from, with; +dat., with, beside; +acc., beside	preposition	13
περί	+gen., concerning, about; +acc., around	preposition	13
πρός	+acc., to, toward, in the presence of	preposition	13
σύν	+dat., with, along with	preposition	13
ὑπέρ	+gen., on behalf of, for the sake of; +acc., above	preposition	13
ὑπό	+gen., by; +acc., under	preposition	13
ἀπέρχομαι	I go away; leave	verb	14
ἐγγίζω	I draw near, approach	verb	14
μαρτυρέω	I testify, bear witness	verb	14
ὁράω	I see	verb	14
πείθω	I persuade	verb	14
προσέρχομαι	I come to, approach	verb	14
τηρέω	I keep; I guard	verb	14
βασιλεία	kingdom	noun	14
ἔργον	work; deed	noun	14
καί	and, also, even	conjunction	14
ἐπερωτάω	I ask; I question	verb	15
ζάω	I live, am alive	verb	15
θεωρέω	I look at, gaze	verb	15
παρακαλέω	I exhort; I comfort, console	verb	15
προσεύχομαι	I pray	verb	15
προσκυνέω	I worship, bow before	verb	15
ὑπάγω	I pass by, depart	verb	15
ἤδη	already	adverb	15
λαός	people, nation	noun	15
ὄχλος	crowd	noun	15
αὐτός	he, she, it; himself, herself, itself; same	pronoun	16
ἑαυτοῦ	himself, herself, itself	pronoun	16
ἐγώ	I	pronoun	16
ἐμαυτοῦ	myself (genitive form; there is no nominative)	pronoun	16
ἐμός	my (possessive pronoun adjective, often emphatic)	adjective	16
ἴδιος	one's own; peculiar	pronoun	16
οἰκία	household, family; house	noun	16
οἶκος	house; household	noun	16
σεαυτοῦ	yourself (genitive form; there is no nominative)	pronoun	16
σύ	you	pronoun	16
ὧδε	here	adverb	16
δέ	and; but, however (postpositive)	conjunction	17
εἰ	if; since, whether	conjunction	17
ἐκεῖνος	that	pronoun	17
ἐκκλησία	church; assembly	noun	17
νόμος	law, principle	noun	17
ὅτι	that; because	conjunction	17
οὗτος	this; he, she, it	pronoun	17
σάββατον	Sabbath	noun	17
τίς	who? what?; τί, why?	pronoun	17
τις	someone, something; anyone, anything; certain	pronoun	17
αἴρω	I raise, lift; I carry, remove	verb	18
ἀπαγγέλλω	I announce, report	verb	18
ἀποκρίνομαι	I answer (direct object in dative case)	verb	18
ἀποκτείνω	I kill	verb	18
ἀποστέλλω	I send out	verb	18
ἐγείρω	I raise	verb	18
κρίνω	I judge; I condemn	verb	18
σπείρω	I plant	verb	18
ἄγγελος	angel, messenger	noun	18
ἀπόστολος	apostle; emissary	noun	18
κράζω	I shout, cry out	verb	19
φέρω	I bear, carry	verb	19
ἀρχή	beginning	noun	19
γῆ	earth; land	noun	19
ζωή	life	noun	19
ἡμέρα	day	noun	19
θάνατος	death	noun	19
κόσμος	world; adornment	noun	19
νύξ	night	noun	19
οὐρανός	heaven	noun	19
στόμα	mouth	noun	19
ὑπάρχω	I exist; I belong to	verb	20
χαίρω	I rejoice	verb	20
ἄρτος	bread; loaf (of bread)	noun	20
γλῶσσα	tongue; speech, language	noun	20
δόξα	glory, fame	noun	20
θάλασσα	sea; lake	noun	20
καρπός	fruit	noun	20
μή	no, not (used with non-indicative moods including participles)	adverb	20
ὀφθαλμός	eye	noun	20
πρόσωπον	face; appearance; person	noun	20
τυφλός	blind (often used as a substantive: ὁ τυφλός "the blind man")	adjective	20
γραφή	Scripture; writing	noun	21
ἐντολή	commandment	noun	21
καιρός	season; a time, age	noun	21
παραβολή	parable	noun	21
ῥῆμα	word, speech	noun	21
χρόνος	time	noun	21
ὥρα	hour	noun	21
ἀλλά	but, however, in contrast (ἀλλ' when followed by a vowel)	conjunction	21
γάρ	for, because (postpositive)	conjunction	21
εὐθύς	immediately	conjunction	21
οὖν	therefore, then (continuation of an argument) (postpositive)	conjunction	21
ἀμήν	truly	indeclinable	22
ἄν	(not usually translated; indefinite particle) "ever"	conjunction	22
ἐάν	if; if ever (combination of εἰ and ἀν)	conjunction	22
ἐὰν μή	unless; if not	conjunction	22
ἕως	until; while (adverb); as prep. +gen to, until	preposition	22
ἵνα	in order that; that	conjunction	22
ὅπου	where (ὅπου ἄν or ὅπου ἐάν, wherever, whenever)	adverb	22
ὅπως	in order that; that	conjunction	22
ὅταν	when; whenever (from ὅτε + ἀν)	conjunction	22
ὅτε	when	conjunction	22
οὕτως	so, thus, in this way (from οὗτος + ὡς)	adverb	22
ὡς	as; like (with numbers: "about" "approximately")	conjunction	22
οἶδα	I know	verb	23
ἀδελφός	brother	noun	23
ἀλλήλων	(of) one another (reciprocal pronoun; the genitive plural is the lexical form)	pronoun	23
ἄλλος	other, another	adjective	23
ἐξουσία	authority; power	noun	23
ἰδού	look!, behold!	interjection	23
λίθος	stone	noun	23
λοιπός	remaining, rest	adjective	23
ὅς	who, which	pronoun	23
ὅσος	as much as, as many as; as great as; all that	pronoun	23
τοιοῦτος	of such a kind, such as this, such	pronoun	23
διδάσκαλος	teacher	noun	24
ἔρημος	desert, wilderness	noun	24
θρόνος	throne	noun	24
Ἰησοῦς	Jesus	noun	24
Ἰωάννης	John	noun	24
μαθητής	disciple	noun	24
ὁδός	road, way	noun	24
προφήτης	prophet	noun	24
σημεῖον	sign; miracle	noun	24
συναγωγή	synagogue	noun	24
Χριστός	Christ, Messiah; anointed one	noun	24
ἕκαστος	each	adjective	25
ἐνώπιον	in the presence of, before (prep. +gen)	preposition	25
ἐπαγγελία	promise	noun	25
ἤ	or; than (ἤ...ἤ, either... or)	conjunction	25
κἀγώ	and I; even I (= καί + ἐγω–used for emphasis or contrast)	pronoun	25
μέν	and (μέν...δέ, on the one hand... on the other hand)	particle	25
μηδέ	nor, and not (μηδέ...μηδέ, neither...nor) (with non-indicative mood verbs)	particle	25
οὐδέ	nor, and not (οὐδέ...οὐδέ, neither...nor)	adverb	25
πῶς	how; how?	adverb	25
ὕδωρ	water	noun	25
χάρις	grace, favor	noun	25
δεῖ	it is necessary, one most	verb	26
δοκέω	I seem to; I suppose, think	verb	26
δύναμαι	I am able to, I can	verb	26
θέλω	I want to, wish	verb	26
μέλλω	I am about to; it is destined (in third person)	verb	26
ἁμαρτία	sin	noun	26
θέλημα	will, wish	noun	26
ἱμάτιον	clothing; coat	noun	26
πλοῖον	boat	noun	26
πρό	+gen., before, beforehand; in front of	preposition	26
ὥστε	so that, with the result that; so as	conjunction	26
ἀνίστημι	I stand up, arise	verb	27
δίδωμι	I give	verb	27
ἵστημι	I stand; 1Aor "I stood (something) up"; 2Aor "I stood up" (intrans)	verb	27
παραδίδωμι	I hand over, betray	verb	27
τίθημι	I place, put; appoint	verb	27
αἷμα	blood	noun	27
ἱερόν	temple	noun	27
πῦρ	fire	noun	27
τόπος	place	noun	27
τότε	then; at that time	adverb	27
ἀπόλλυμι	I destroy; (middle: I perish)	verb	28
ἀφίημι	I forgive; I allow; I dismiss	verb	28
κάθημαι	I sit; I stay	verb	28
φημί	I say	verb	28
δεξιός	right; ἐν δεξιᾷ (χειρί) on the right (hand)	adjective	28
διό	wherefore, therefore	conjunction	28
εἴτε	if, whether; εἴτε...εἴτε, whether...or,if...if (= εἰ + τέ)	conjunction	28
καθώς	just as, as	conjunction	28
μέσος	middle; ἐν μέσῳ "in the midst"	adjective	28
νῦν	now, at present; νυνί, at this moment (emphatic form)	adverb	28
οὔτε	not, nor; οὔτε...οὔτε, neither...nor (= οὐ + τέ)	particle	28
τέ	and, but, also (postpositive) (synonym of δέ but more "literary")	conjunction	28
ἀληθής	true; genuine	adjective	29
ἐκεῖ	there, in that place	adverb	29
ἔξω	out(side) (adv.); +gen., out of	adverb	29
ἔτι	still, yet	adverb	29
μακάριος	blessed	adjective	29
μᾶλλον	more; rather; πολλῷ μάλλον, all the more, much more	adverb	29
μέγας	greater; larger	adjective	29
μείζων	greater; larger (comparative of μέγας)	adjective	29
πάλιν	again	adverb	29
πλείων	more; greater; πλεῖον, more, most (adv.) (comparative of πολύς)	adjective	29
πολύς	much, many; often (adv.)	adjective	29
πρεσβύτερος	older, elder	noun	29
δύο	two (not declined)	indeclinable	30
δώδεκα	twelve (not declined)	indeclinable	30
εἷς	one	indeclinable	30
μία	one	indeclinable	30
ἕν	one	indeclinable	30
ἐλπίς	hope	noun	30
ἑπτά	seven (not declined)	indeclinable	30
ἔσχατος	last, final	adjective	30
μηδείς	no one (= μή + εἷς – used with non-indicative verbs)	adjective	30
μόνος	only, the single	adjective	30
ὅλος	whole, entire	adjective	30
οὐδείς	no one (= οὐ + εἷς – used with indicative verbs)	adjective	30
πρῶτος	first (an ordinal number)	adverb	30
τρεῖς	three	indeclinable	30
